Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Guava,Loamy,6.8,26,2113,Potassium Nitrate,Late Blight - Mancozeb
Sunflower,Loamy,5.7,24,483,NPK Fertilizer,Coffee Rust - Propiconazole
Turmeric,Clayey Loam,5.9,35,1669,Organic Compost,Bollworm - Cypermethrin
Aloe Vera,Clayey Loam,6.2,15,1343,Farmyard Manure,Red Rot - Carbendazim
Cabbage,Alluvial,5.5,18,530,Organic Compost,Panama Wilt - Thiophanate
Jute,Clayey,7.1,29,1252,Farmyard Manure,Coffee Rust - Propiconazole
Cauliflower,Alluvial,7.3,30,1324,Urea,Bud Rot - Copper Oxychloride
Wheat,Clayey,6.8,14,498,Sulfur Fertilizer,Rust - Propiconazole
Aloe Vera,Red,5.5,35,431,Potash Fertilizer,Coffee Rust - Propiconazole
Mustard,Sandy,6.8,27,1506,Organic Compost,Blast - Tricyclazole
Tomato,Alluvial,6.4,30,1602,Farmyard Manure,Blast - Tricyclazole
Cashew,Red,7.3,10,1839,Sulfur Fertilizer,Aphids - Imidacloprid
Pear,Clayey,5.6,25,833,Phosphate Fertilizer,Rust - Propiconazole
Carrot,Loamy,5.6,35,2413,NPK Fertilizer,Panama Wilt - Thiophanate
Strawberry,Clayey,7.1,18,1679,Potassium Nitrate,Leaf Curl - Imidacloprid
Cabbage,Sandy Loam,7.4,12,313,NPK Fertilizer,Powdery Mildew - Sulfur
Mango,Sandy,7,15,400,Urea,Blister Blight - Copper Oxychloride
Mahogany,Sandy,6.2,25,2472,NPK Fertilizer,Late Blight - Mancozeb
Spinach,Red,5.5,29,1769,Potash Fertilizer,Anthracnose - Carbendazim
Coconut,Sandy Loam,5.9,27,1356,Potassium Nitrate,Blast - Tricyclazole
Cabbage,Sandy,7,10,612,DAP,Thrips - Spinosad
Cashew,Clayey,5.8,26,1035,Farmyard Manure,Bud Rot - Copper Oxychloride
Black Gram,Alluvial,6.4,23,2144,NPK Fertilizer,Late Blight - Mancozeb
Banana,Sandy Loam,6.4,29,418,Sulfur Fertilizer,Coffee Rust - Propiconazole
Mango,Clayey Loam,7.3,35,410,NPK Fertilizer,Red Rot - Carbendazim
Aloe Vera,Alluvial,5.8,24,2340,Potassium Nitrate,Blister Blight - Copper Oxychloride
Apple,Sandy,7,16,607,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Chili,Alluvial,6.7,23,1548,Calcium Ammonium Nitrate,Thrips - Spinosad
Soybean,Alluvial,6.8,30,1515,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Okra,Loamy,7.1,12,2495,Farmyard Manure,Mealybug - Buprofezin
Aloe Vera,Clayey Loam,5.7,13,443,Sulfur Fertilizer,Scab - Captan
Ginger,Clayey,6.7,35,894,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Peas,Mountain,5.6,15,672,Sulfur Fertilizer,Red Rot - Carbendazim
Aloe Vera,Sandy,6.5,16,1664,Potash Fertilizer,Anthracnose - Carbendazim
Coconut,Loamy,6.4,13,1183,NPK Fertilizer,Panama Wilt - Thiophanate
Bamboo,Alluvial,7.3,27,705,DAP,Rust - Mancozeb
Guava,Alluvial,6.2,26,2496,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Papaya,Sandy,6.4,20,1487,Potassium Nitrate,Aphids - Imidacloprid
Potato,Loamy,6.5,35,2027,NPK Fertilizer,Rust - Mancozeb
Tea,Sandy,6.4,17,1579,Organic Compost,Bollworm - Cypermethrin
Cotton,Sandy,6.5,30,1578,Potash Fertilizer,Bud Rot - Copper Oxychloride
Coffee,Black,5.5,11,719,Farmyard Manure,Coffee Rust - Propiconazole
Jute,Clayey,6,22,2054,Urea,Anthracnose - Carbendazim
Mango,Clayey,5.7,12,2463,Potassium Nitrate,Bud Rot - Copper Oxychloride
Coffee,Clayey,6.4,32,1140,Farmyard Manure,Scab - Captan
Spinach,Sandy Loam,6.6,13,2105,Farmyard Manure,Stem Borer - Carbaryl
Okra,Clayey,6.5,16,671,Organic Compost,Panama Wilt - Thiophanate
Chili,Clayey Loam,7.4,14,2103,Potassium Nitrate,Rust - Propiconazole
Turmeric,Clayey,5.8,18,1059,Potash Fertilizer,Panama Wilt - Thiophanate
Spinach,Clayey Loam,6.6,26,423,Potassium Nitrate,Thrips - Spinosad
Apple,Sandy,5.6,15,840,Organic Compost,Leaf Spot - Chlorothalonil
Jute,Mountain,6.7,18,680,NPK Fertilizer,Thrips - Spinosad
Lentils,Sandy Loam,6,18,620,Organic Compost,Late Blight - Mancozeb
Pomegranate,Alluvial,6.7,30,683,DAP,Leaf Spot - Chlorothalonil
Chili,Clayey,5.5,22,2031,NPK Fertilizer,Blister Blight - Copper Oxychloride
Jute,Sandy Loam,6.4,34,493,Potassium Nitrate,Powdery Mildew - Sulfur
Coconut,Mountain,5.9,15,1231,Urea,Stem Borer - Carbaryl
Maize,Loamy,6.1,27,1997,DAP,Blister Blight - Copper Oxychloride
Lentils,Sandy,6,23,2430,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Eucalyptus,Clayey,5.8,25,2028,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Turmeric,Red,6.5,11,2114,Urea,Coffee Rust - Propiconazole
Rice,Red,7,15,2092,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Pomegranate,Mountain,6.1,21,1794,Potassium Nitrate,Stem Borer - Carbaryl
Basil,Loamy,5.8,26,454,NPK Fertilizer,Mealybug - Buprofezin
Cashew,Laterite,6.4,11,1538,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Watermelon,Black,6.8,15,2166,Potash Fertilizer,Bud Rot - Copper Oxychloride
Mahogany,Clayey,7.1,19,2257,Potassium Nitrate,Leaf Spot - Chlorothalonil
Lentils,Clayey Loam,6.8,20,1298,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Pumpkin,Red,6.4,23,316,NPK Fertilizer,Aphids - Imidacloprid
Sugarcane,Sandy,6.1,28,363,Sulfur Fertilizer,Coffee Rust - Propiconazole
Pumpkin,Sandy Loam,5.7,20,507,Farmyard Manure,Red Rot - Carbendazim
Tea,Loamy,7.4,22,2418,NPK Fertilizer,Thrips - Spinosad
Green Gram,Clayey,7.4,11,1596,Urea,Rust - Propiconazole
Pear,Mountain,5.6,31,1324,Calcium Ammonium Nitrate,Rust - Mancozeb
Pomegranate,Alluvial,5.5,21,2146,Farmyard Manure,Powdery Mildew - Sulfur
Coffee,Mountain,5.6,21,1780,Sulfur Fertilizer,Stem Borer - Carbaryl
Brinjal,Alluvial,6.3,30,336,NPK Fertilizer,Blister Blight - Copper Oxychloride
Neem,Black,6.4,22,2480,DAP,Scab - Captan
Black Gram,Clayey Loam,6.7,12,1607,Phosphate Fertilizer,Thrips - Spinosad
Peach,Sandy Loam,6.9,28,722,Calcium Ammonium Nitrate,Thrips - Spinosad
Maize,Black,6.2,16,2045,Farmyard Manure,Aphids - Imidacloprid
Neem,Sandy,7.2,31,1587,Potash Fertilizer,Panama Wilt - Thiophanate
Banana,Mountain,6.9,29,1840,Urea,Red Rot - Carbendazim
Bamboo,Laterite,5.9,26,2120,Potassium Nitrate,Scab - Captan
Aloe Vera,Red,7.3,12,665,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Spinach,Clayey Loam,5.6,27,827,Calcium Ammonium Nitrate,Thrips - Spinosad
Wheat,Clayey Loam,6.3,34,2257,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Neem,Laterite,6.4,19,2407,Organic Compost,Late Blight - Mancozeb
Blueberry,Mountain,7.2,33,1871,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Cashew,Clayey,6.4,16,1067,Phosphate Fertilizer,Thrips - Spinosad
Peas,Alluvial,5.9,25,1904,Organic Compost,Blister Blight - Copper Oxychloride
Maize,Sandy,6.3,20,690,Potash Fertilizer,Rust - Propiconazole
Turmeric,Alluvial,5.9,11,1237,NPK Fertilizer,Bud Rot - Copper Oxychloride
Peas,Clayey Loam,6.8,15,2130,Sulfur Fertilizer,Thrips - Spinosad
Rice,Red,7.2,13,773,NPK Fertilizer,Mealybug - Buprofezin
Eucalyptus,Alluvial,5.7,21,1422,Urea,Coffee Rust - Propiconazole
Basil,Clayey Loam,6.3,24,1018,Farmyard Manure,Bollworm - Cypermethrin
Cashew,Loamy,6.8,27,1210,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Cotton,Clayey,7.1,32,2219,NPK Fertilizer,Powdery Mildew - Sulfur
Brinjal,Clayey Loam,6.5,31,1013,Urea,Scab - Captan
Onion,Clayey,6.6,17,1964,Urea,Powdery Mildew - Sulfur
Neem,Red,5.8,17,403,Potash Fertilizer,Scab - Captan
Green Gram,Red,7.1,13,1060,Phosphate Fertilizer,Red Rot - Carbendazim
Radish,Clayey,5.9,29,1185,Potash Fertilizer,Powdery Mildew - Sulfur
Turmeric,Sandy Loam,6,28,1108,Phosphate Fertilizer,Stem Borer - Carbaryl
Mahogany,Clayey Loam,6.3,20,2442,Organic Compost,Bollworm - Cypermethrin
Jute,Loamy,7.3,31,2176,Potassium Nitrate,Blister Blight - Copper Oxychloride
Pumpkin,Loamy,6.8,22,448,Organic Compost,Coffee Rust - Propiconazole
Mango,Laterite,5.8,23,2186,Urea,Powdery Mildew - Sulfur
Cotton,Clayey Loam,6.9,11,2319,Potassium Nitrate,Coffee Rust - Propiconazole
Groundnut,Clayey,6,14,1034,Calcium Ammonium Nitrate,Thrips - Spinosad
Groundnut,Sandy,6,24,2366,DAP,Coffee Rust - Propiconazole
Lentils,Sandy Loam,6.5,14,1800,Urea,Bud Rot - Copper Oxychloride
Strawberry,Clayey,7.4,17,1439,Urea,Panama Wilt - Thiophanate
Guava,Mountain,6.1,22,409,Phosphate Fertilizer,Scab - Captan
Watermelon,Sandy,7,10,1688,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Sunflower,Sandy Loam,7.2,35,1464,Potassium Nitrate,Scab - Captan
Okra,Clayey Loam,7.2,17,890,Potash Fertilizer,Stem Borer - Carbaryl
Banana,Black,5.7,23,1281,Urea,Powdery Mildew - Sulfur
Peas,Red,6.8,26,1373,Urea,Coffee Rust - Propiconazole
Papaya,Sandy,6.2,31,324,Farmyard Manure,Anthracnose - Carbendazim
Peas,Sandy,7,34,2389,Organic Compost,Leaf Curl - Imidacloprid
Neem,Alluvial,6.3,30,1714,NPK Fertilizer,Mealybug - Buprofezin
Pear,Laterite,5.9,12,1582,Sulfur Fertilizer,Mealybug - Buprofezin
Tomato,Black,7,28,1762,Potash Fertilizer,Blister Blight - Copper Oxychloride
Onion,Sandy,6.9,15,1362,Phosphate Fertilizer,Mealybug - Buprofezin
Turmeric,Laterite,6.8,27,2022,NPK Fertilizer,Thrips - Spinosad
Pear,Red,7.2,29,870,Potash Fertilizer,Red Rot - Carbendazim
Jute,Sandy,6.2,20,1464,Potash Fertilizer,Red Rot - Carbendazim
Cotton,Loamy,5.7,28,687,Potassium Nitrate,Mealybug - Buprofezin
Cashew,Mountain,7,32,2240,Phosphate Fertilizer,Mealybug - Buprofezin
Apple,Sandy,7,19,2330,NPK Fertilizer,Late Blight - Mancozeb
Soybean,Sandy,6.1,16,490,Farmyard Manure,Bud Rot - Copper Oxychloride
Cashew,Clayey,6.7,24,1512,DAP,Rust - Propiconazole
Banana,Red,6.4,10,2022,NPK Fertilizer,Mealybug - Buprofezin
Strawberry,Laterite,6.1,10,364,Sulfur Fertilizer,Rust - Mancozeb
Turmeric,Sandy Loam,6,25,483,Organic Compost,Anthracnose - Carbendazim
Aloe Vera,Sandy Loam,6.9,11,2258,Farmyard Manure,Bud Rot - Copper Oxychloride
Guava,Mountain,6.8,28,1572,Potassium Nitrate,Blast - Tricyclazole
Ginger,Sandy,7.2,27,1704,NPK Fertilizer,Rust - Mancozeb
Pomegranate,Red,7,34,1501,Potash Fertilizer,Bollworm - Cypermethrin
Papaya,Laterite,7.2,10,913,Phosphate Fertilizer,Aphids - Imidacloprid
Rice,Alluvial,5.6,23,2362,Phosphate Fertilizer,Blast - Tricyclazole
Groundnut,Loamy,6.9,14,1954,Potassium Nitrate,Panama Wilt - Thiophanate
Bamboo,Laterite,5.5,18,1715,NPK Fertilizer,Aphids - Imidacloprid
Chili,Sandy,6.9,31,773,Phosphate Fertilizer,Rust - Propiconazole
Aloe Vera,Black,5.8,28,1680,Potash Fertilizer,Anthracnose - Carbendazim
Jute,Sandy,7.2,30,1186,NPK Fertilizer,Late Blight - Mancozeb
Bamboo,Sandy Loam,6.9,30,961,Farmyard Manure,Thrips - Spinosad
Basil,Black,6,29,483,NPK Fertilizer,Bud Rot - Copper Oxychloride
Black Gram,Alluvial,6.9,31,501,NPK Fertilizer,Mealybug - Buprofezin
Aloe Vera,Clayey,5.6,13,690,Potash Fertilizer,Blister Blight - Copper Oxychloride
Okra,Clayey,6,20,1439,Farmyard Manure,Panama Wilt - Thiophanate
Jackfruit,Loamy,6.8,13,788,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Sugarcane,Clayey Loam,6.4,22,2465,Phosphate Fertilizer,Red Rot - Carbendazim
Groundnut,Mountain,6,33,1488,Farmyard Manure,Panama Wilt - Thiophanate
Mahogany,Red,6.5,25,2332,Phosphate Fertilizer,Mealybug - Buprofezin
Cabbage,Sandy Loam,6.2,30,736,Calcium Ammonium Nitrate,Scab - Captan
Onion,Mountain,6.5,34,676,Organic Compost,Bud Rot - Copper Oxychloride
Wheat,Clayey,6.8,33,735,Organic Compost,Red Rot - Carbendazim
Ginger,Sandy Loam,6.6,15,1296,DAP,Mealybug - Buprofezin
Coffee,Laterite,5.9,29,2155,Potash Fertilizer,Blister Blight - Copper Oxychloride
Eucalyptus,Sandy,7.3,18,1915,Sulfur Fertilizer,Powdery Mildew - Sulfur
Coffee,Mountain,7.1,17,2429,Farmyard Manure,Mealybug - Buprofezin
Cotton,Clayey Loam,6.8,13,1133,Urea,Bud Rot - Copper Oxychloride
Wheat,Sandy Loam,6.3,17,1013,Organic Compost,Powdery Mildew - Sulfur
Brinjal,Mountain,5.8,15,619,Phosphate Fertilizer,Powdery Mildew - Sulfur
Cotton,Loamy,7.3,10,1724,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Wheat,Clayey Loam,7,29,1423,Organic Compost,Leaf Spot - Chlorothalonil
Black Gram,Laterite,7.3,22,1805,NPK Fertilizer,Leaf Spot - Chlorothalonil
Mango,Sandy,5.5,16,1259,Potassium Nitrate,Stem Borer - Carbaryl
Tea,Red,6.1,17,975,Farmyard Manure,Rust - Mancozeb
Wheat,Clayey Loam,7.4,33,1729,NPK Fertilizer,Anthracnose - Carbendazim
Turmeric,Black,7.1,33,1859,Calcium Ammonium Nitrate,Blast - Tricyclazole
Mahogany,Clayey Loam,6.2,17,2366,DAP,Red Rot - Carbendazim
Brinjal,Alluvial,7.1,16,1734,Organic Compost,Panama Wilt - Thiophanate
Jute,Sandy,6.2,15,1105,Potassium Nitrate,Leaf Spot - Chlorothalonil
Okra,Black,6.3,30,2483,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Strawberry,Sandy,6.4,21,1422,Sulfur Fertilizer,Aphids - Imidacloprid
Mango,Clayey Loam,6,21,672,DAP,Panama Wilt - Thiophanate
Mango,Sandy,7.3,29,648,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Strawberry,Sandy,7.4,15,1236,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Jute,Laterite,5.5,22,468,Urea,Late Blight - Mancozeb
Rice,Laterite,7.4,29,2445,Farmyard Manure,Scab - Captan
Cauliflower,Sandy,6.3,13,410,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Mustard,Red,6.2,17,843,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Coconut,Mountain,6.6,20,746,NPK Fertilizer,Leaf Curl - Imidacloprid
Pumpkin,Laterite,5.7,14,1845,Sulfur Fertilizer,Blast - Tricyclazole
Cashew,Clayey,6.4,23,691,NPK Fertilizer,Scab - Captan
Carrot,Red,6.8,16,2273,Urea,Leaf Spot - Chlorothalonil
Green Gram,Clayey Loam,7.3,19,333,NPK Fertilizer,Aphids - Imidacloprid
Neem,Mountain,7,26,2496,Potash Fertilizer,Aphids - Imidacloprid
Neem,Sandy,6.5,16,1666,Urea,Rust - Propiconazole
Sugarcane,Mountain,6.3,33,537,DAP,Bud Rot - Copper Oxychloride
Jackfruit,Black,7,19,2369,Organic Compost,Stem Borer - Carbaryl
Banana,Clayey,6.2,17,484,Farmyard Manure,Blast - Tricyclazole
Potato,Loamy,6.2,18,788,Potassium Nitrate,Thrips - Spinosad
Maize,Alluvial,5.8,24,677,Potash Fertilizer,Late Blight - Mancozeb
Soybean,Red,6.9,33,1617,Potassium Nitrate,Aphids - Imidacloprid
Tomato,Red,7.3,16,616,NPK Fertilizer,Blast - Tricyclazole
Potato,Loamy,6.1,21,796,Potassium Nitrate,Leaf Spot - Chlorothalonil
Tea,Mountain,6.8,32,684,Sulfur Fertilizer,Scab - Captan
Mustard,Loamy,6.6,18,1720,Urea,Aphids - Imidacloprid
Guava,Loamy,6,24,560,Organic Compost,Aphids - Imidacloprid
Bamboo,Loamy,7,17,772,Potassium Nitrate,Red Rot - Carbendazim
Sunflower,Laterite,7.3,30,716,Potash Fertilizer,Blast - Tricyclazole
Jute,Clayey,6.7,30,1620,Sulfur Fertilizer,Blast - Tricyclazole
Brinjal,Sandy Loam,6.6,17,1985,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Pear,Clayey Loam,5.7,32,1418,Sulfur Fertilizer,Powdery Mildew - Sulfur
Wheat,Black,6.5,18,1456,Farmyard Manure,Powdery Mildew - Sulfur
Tea,Red,6.1,29,962,Sulfur Fertilizer,Rust - Propiconazole
Pear,Loamy,7.5,20,1024,NPK Fertilizer,Leaf Spot - Chlorothalonil
Green Gram,Black,7.1,35,2089,Sulfur Fertilizer,Blast - Tricyclazole
Groundnut,Mountain,7.1,32,993,NPK Fertilizer,Aphids - Imidacloprid
Pumpkin,Sandy Loam,6.1,12,1101,DAP,Late Blight - Mancozeb
Aloe Vera,Mountain,6.1,14,2369,Farmyard Manure,Panama Wilt - Thiophanate
Sugarcane,Laterite,5.9,10,569,DAP,Scab - Captan
Chili,Mountain,5.8,32,1764,Urea,Rust - Propiconazole
Coffee,Black,6.6,13,1617,Phosphate Fertilizer,Rust - Propiconazole
Sugarcane,Clayey Loam,5.6,33,1634,DAP,Bollworm - Cypermethrin
Green Gram,Laterite,7.1,16,1298,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Strawberry,Sandy,7.3,31,989,Potassium Nitrate,Powdery Mildew - Sulfur
Mustard,Sandy Loam,7.1,25,1362,Urea,Anthracnose - Carbendazim
Groundnut,Mountain,7.2,21,1258,Potash Fertilizer,Panama Wilt - Thiophanate
Coconut,Mountain,7,33,1900,Phosphate Fertilizer,Aphids - Imidacloprid
Rice,Alluvial,6,30,2314,Urea,Leaf Spot - Chlorothalonil
Coffee,Red,7,14,382,Farmyard Manure,Stem Borer - Carbaryl
Cauliflower,Loamy,6.5,22,1733,Sulfur Fertilizer,Aphids - Imidacloprid
Brinjal,Clayey Loam,6.7,23,1463,Urea,Powdery Mildew - Sulfur
Cauliflower,Sandy,6.6,30,2187,Sulfur Fertilizer,Red Rot - Carbendazim
Jackfruit,Laterite,6.7,24,1327,Phosphate Fertilizer,Coffee Rust - Propiconazole
Tomato,Sandy,6.4,29,1703,Urea,Bud Rot - Copper Oxychloride
Watermelon,Mountain,7.2,10,521,Organic Compost,Blister Blight - Copper Oxychloride
Blueberry,Laterite,6.2,26,1074,Organic Compost,Bud Rot - Copper Oxychloride
Jute,Clayey Loam,6.1,31,2456,Farmyard Manure,Powdery Mildew - Sulfur
Onion,Laterite,6.9,28,2351,Organic Compost,Red Rot - Carbendazim
Green Gram,Loamy,6.2,13,2350,Urea,Bollworm - Cypermethrin
Cotton,Clayey,7.2,15,1322,Sulfur Fertilizer,Late Blight - Mancozeb
Guava,Sandy,7,10,588,Organic Compost,Panama Wilt - Thiophanate
Radish,Mountain,7.3,35,1716,Organic Compost,Late Blight - Mancozeb
Coconut,Black,6.6,12,2050,Sulfur Fertilizer,Scab - Captan
Eucalyptus,Mountain,7.2,18,2097,Organic Compost,Aphids - Imidacloprid
Cabbage,Laterite,6.8,27,720,Potash Fertilizer,Thrips - Spinosad
Pineapple,Mountain,5.5,25,2261,Potash Fertilizer,Rust - Mancozeb
Onion,Laterite,5.9,30,2365,Phosphate Fertilizer,Mealybug - Buprofezin
Soybean,Alluvial,5.9,33,1815,Farmyard Manure,Leaf Spot - Chlorothalonil
Watermelon,Loamy,6,26,776,Sulfur Fertilizer,Bollworm - Cypermethrin
Okra,Clayey Loam,5.9,27,1853,DAP,Rust - Propiconazole
Potato,Mountain,6.2,23,1746,Phosphate Fertilizer,Blast - Tricyclazole
Tomato,Sandy Loam,5.6,31,434,Phosphate Fertilizer,Coffee Rust - Propiconazole
Coffee,Sandy Loam,5.7,23,1089,DAP,Bollworm - Cypermethrin
Bamboo,Laterite,6.2,22,1522,Organic Compost,Scab - Captan
Mustard,Mountain,6,15,1023,Calcium Ammonium Nitrate,Rust - Mancozeb
Spinach,Black,6.6,13,1028,DAP,Powdery Mildew - Sulfur
Pineapple,Loamy,6.5,28,1755,Farmyard Manure,Leaf Spot - Chlorothalonil
Jackfruit,Loamy,7.3,17,1380,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Chili,Clayey Loam,6.4,13,1161,Potash Fertilizer,Red Rot - Carbendazim
Guava,Clayey,5.7,33,437,NPK Fertilizer,Powdery Mildew - Sulfur
Radish,Clayey Loam,7.1,33,906,Farmyard Manure,Anthracnose - Carbendazim
Sugarcane,Sandy Loam,5.6,16,2232,NPK Fertilizer,Leaf Spot - Chlorothalonil
Spinach,Sandy Loam,7,20,1361,Sulfur Fertilizer,Stem Borer - Carbaryl
Jute,Black,5.7,20,1705,Phosphate Fertilizer,Scab - Captan
Pomegranate,Mountain,7,21,1444,NPK Fertilizer,Anthracnose - Carbendazim
Guava,Red,6.9,19,690,DAP,Red Rot - Carbendazim
Groundnut,Mountain,6.9,19,1061,NPK Fertilizer,Aphids - Imidacloprid
Carrot,Laterite,6.5,14,394,Organic Compost,Mealybug - Buprofezin
Eucalyptus,Loamy,6.5,26,1033,Farmyard Manure,Late Blight - Mancozeb
Basil,Black,6.7,32,1993,NPK Fertilizer,Scab - Captan
Potato,Black,5.9,14,1360,NPK Fertilizer,Leaf Curl - Imidacloprid
Potato,Loamy,5.9,16,1508,Sulfur Fertilizer,Rust - Mancozeb
Pineapple,Sandy,7.1,19,1150,DAP,Red Rot - Carbendazim
Neem,Sandy Loam,6.2,25,1581,Calcium Ammonium Nitrate,Rust - Mancozeb
Tomato,Clayey,6.4,32,552,Potash Fertilizer,Mealybug - Buprofezin
Brinjal,Sandy Loam,6,15,1936,Farmyard Manure,Late Blight - Mancozeb
Black Gram,Clayey,6,10,1103,Organic Compost,Anthracnose - Carbendazim
Mustard,Mountain,5.9,13,867,Sulfur Fertilizer,Stem Borer - Carbaryl
Spinach,Red,6,19,1451,DAP,Mealybug - Buprofezin
Sugarcane,Black,7,14,2113,NPK Fertilizer,Aphids - Imidacloprid
Jute,Red,6.9,11,633,Urea,Aphids - Imidacloprid
Tomato,Red,6.8,27,1417,Organic Compost,Anthracnose - Carbendazim
Papaya,Red,6.6,21,1664,Urea,Mealybug - Buprofezin
Papaya,Laterite,6.5,16,1091,Sulfur Fertilizer,Coffee Rust - Propiconazole
Rice,Sandy,5.7,29,1146,NPK Fertilizer,Powdery Mildew - Sulfur
Cotton,Black,7.4,11,1771,Urea,Panama Wilt - Thiophanate
Mahogany,Mountain,7.3,14,2208,NPK Fertilizer,Scab - Captan
Sugarcane,Black,5.6,22,1736,DAP,Leaf Spot - Chlorothalonil
Papaya,Sandy,6.4,23,921,Potash Fertilizer,Panama Wilt - Thiophanate
Chili,Alluvial,6.5,19,1920,Farmyard Manure,Mealybug - Buprofezin
Coconut,Loamy,7.3,33,2315,DAP,Blast - Tricyclazole
Strawberry,Clayey Loam,6.6,12,939,Organic Compost,Stem Borer - Carbaryl
Pumpkin,Sandy Loam,7.2,25,2407,Urea,Blast - Tricyclazole
Green Gram,Alluvial,6.6,34,2285,Organic Compost,Aphids - Imidacloprid
Apple,Mountain,7.2,17,2307,DAP,Powdery Mildew - Sulfur
Potato,Clayey,6.6,12,1872,Potash Fertilizer,Bollworm - Cypermethrin
Cabbage,Loamy,7.2,20,870,DAP,Bollworm - Cypermethrin
Pineapple,Clayey Loam,6.7,19,1110,NPK Fertilizer,Panama Wilt - Thiophanate
Lentils,Sandy,7.2,24,687,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Cashew,Red,6.9,23,1907,NPK Fertilizer,Bud Rot - Copper Oxychloride
Pomegranate,Mountain,5.5,34,2017,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Peach,Clayey,6.4,30,501,Potassium Nitrate,Anthracnose - Carbendazim
Coconut,Red,6.8,14,1718,Organic Compost,Rust - Propiconazole
Cotton,Sandy Loam,6.1,23,447,Potash Fertilizer,Powdery Mildew - Sulfur
Lentils,Laterite,7.4,10,2103,Potassium Nitrate,Coffee Rust - Propiconazole
Cauliflower,Sandy Loam,6.6,14,1098,Potassium Nitrate,Rust - Propiconazole
Pear,Laterite,5.5,32,1233,Organic Compost,Stem Borer - Carbaryl
Coffee,Loamy,7.3,23,696,Organic Compost,Blister Blight - Copper Oxychloride
Guava,Black,6.9,13,1165,Sulfur Fertilizer,Rust - Mancozeb
Banana,Sandy Loam,6.6,31,2116,NPK Fertilizer,Red Rot - Carbendazim
Jute,Sandy,5.9,30,721,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Coconut,Sandy,5.7,10,1770,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Sunflower,Loamy,5.5,26,2196,DAP,Blister Blight - Copper Oxychloride
Tomato,Clayey Loam,7.4,16,1881,Potassium Nitrate,Bollworm - Cypermethrin
Strawberry,Black,7.4,35,1011,Farmyard Manure,Red Rot - Carbendazim
Wheat,Alluvial,6.7,30,1569,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Potato,Red,6.1,32,2273,DAP,Anthracnose - Carbendazim
Apple,Black,6.3,33,2236,Urea,Panama Wilt - Thiophanate
Peas,Black,7.3,21,1385,Farmyard Manure,Blast - Tricyclazole
Apple,Clayey,5.8,29,1967,Potash Fertilizer,Leaf Curl - Imidacloprid
Peas,Loamy,7.5,18,1031,Urea,Anthracnose - Carbendazim
Spinach,Loamy,6.9,13,1030,Potassium Nitrate,Mealybug - Buprofezin
Cashew,Mountain,5.9,32,823,NPK Fertilizer,Rust - Propiconazole
Cashew,Clayey Loam,6.8,26,1286,Phosphate Fertilizer,Stem Borer - Carbaryl
Groundnut,Sandy Loam,6.9,21,1346,Farmyard Manure,Red Rot - Carbendazim
Cauliflower,Mountain,6.8,21,2029,DAP,Powdery Mildew - Sulfur
Strawberry,Alluvial,6.6,14,2280,DAP,Blister Blight - Copper Oxychloride
Okra,Black,6.4,19,1319,Sulfur Fertilizer,Stem Borer - Carbaryl
Radish,Mountain,5.5,16,534,NPK Fertilizer,Leaf Spot - Chlorothalonil
Tomato,Clayey Loam,7.1,27,2180,Phosphate Fertilizer,Aphids - Imidacloprid
Radish,Sandy Loam,5.6,18,1762,Potassium Nitrate,Bollworm - Cypermethrin
Sunflower,Loamy,7.3,34,973,DAP,Bud Rot - Copper Oxychloride
Turmeric,Clayey Loam,6,21,717,Urea,Bud Rot - Copper Oxychloride
Jute,Red,6.6,21,1506,Calcium Ammonium Nitrate,Red Rot - Carbendazim
