Plant Name,Soil Type,Soil pH,Temperature,Rainfall,Required Fertilizer,Common Pests & Recommended Pesticides
Coconut,Clayey,7.1,12,474,NPK Fertilizer,Rust - Propiconazole
Onion,Sandy,6.6,27,576,Urea,Coffee Rust - Propiconazole
Lentils,Clayey,7.4,30,1167,Urea,Powdery Mildew - Sulfur
Black Gram,Mountain,7.2,20,2335,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Guava,Laterite,5.9,27,338,Farmyard Manure,Bollworm - Cypermethrin
Sugarcane,Black,5.7,23,2119,Farmyard Manure,Thrips - Spinosad
Cabbage,Alluvial,5.9,35,1667,DAP,Rust - Mancozeb
Turmeric,Clayey,6,24,1304,Organic Compost,Stem Borer - Carbaryl
Cotton,Black,7.4,16,2080,Phosphate Fertilizer,Scab - Captan
Potato,Loamy,7.1,27,1759,Urea,Panama Wilt - Thiophanate
Bamboo,Loamy,6.5,19,566,Farmyard Manure,Leaf Curl - Imidacloprid
Pear,Clayey,5.7,24,1517,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Soybean,Black,7,27,757,Organic Compost,Mealybug - Buprofezin
Banana,Mountain,7.4,31,2057,Farmyard Manure,Blister Blight - Copper Oxychloride
Green Gram,Sandy Loam,7.3,24,1867,Sulfur Fertilizer,Red Rot - Carbendazim
Jackfruit,Red,6.5,26,2058,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Carrot,Alluvial,6.5,31,1561,Sulfur Fertilizer,Bollworm - Cypermethrin
Maize,Laterite,5.7,26,1903,Potash Fertilizer,Blast - Tricyclazole
Mahogany,Mountain,6.7,11,2370,DAP,Thrips - Spinosad
Peas,Alluvial,7.4,17,2361,Urea,Scab - Captan
Mahogany,Sandy Loam,5.7,14,362,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Radish,Clayey Loam,6.7,17,390,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Pumpkin,Clayey,6.9,30,1515,Organic Compost,Blast - Tricyclazole
Jackfruit,Sandy Loam,7.5,16,1832,Sulfur Fertilizer,Panama Wilt - Thiophanate
Maize,Black,5.5,10,2353,DAP,Leaf Curl - Imidacloprid
Tea,Red,6.3,35,722,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Sunflower,Laterite,6.6,18,1442,Potassium Nitrate,Panama Wilt - Thiophanate
Jackfruit,Red,5.6,31,842,Organic Compost,Stem Borer - Carbaryl
Tomato,Clayey,5.9,28,302,Urea,Anthracnose - Carbendazim
Basil,Alluvial,6.2,15,1095,Organic Compost,Aphids - Imidacloprid
Apple,Clayey,6.8,10,679,Phosphate Fertilizer,Rust - Mancozeb
Cotton,Red,6.2,10,2305,Farmyard Manure,Scab - Captan
Mahogany,Sandy,5.6,30,1831,DAP,Powdery Mildew - Sulfur
Rice,Sandy,6.7,23,1847,Sulfur Fertilizer,Powdery Mildew - Sulfur
Cotton,Alluvial,6,33,573,Urea,Bud Rot - Copper Oxychloride
Basil,Clayey,6.6,12,1131,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Banana,Red,6.6,26,2154,Phosphate Fertilizer,Rust - Propiconazole
Lentils,Clayey Loam,5.8,26,1014,Potash Fertilizer,Thrips - Spinosad
Cabbage,Mountain,7.3,16,1705,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Black Gram,Loamy,7,15,1104,Urea,Scab - Captan
Pineapple,Sandy,5.9,29,1999,Phosphate Fertilizer,Scab - Captan
Wheat,Loamy,7.2,23,1824,Potassium Nitrate,Red Rot - Carbendazim
Strawberry,Clayey Loam,7,18,819,Potassium Nitrate,Leaf Spot - Chlorothalonil
Tomato,Mountain,7.3,17,1998,Organic Compost,Mealybug - Buprofezin
Black Gram,Loamy,6.7,22,2464,Potassium Nitrate,Leaf Spot - Chlorothalonil
Mustard,Mountain,6.6,16,804,Organic Compost,Aphids - Imidacloprid
Jackfruit,Loamy,5.8,25,1272,Potassium Nitrate,Anthracnose - Carbendazim
Cashew,Clayey,6.2,32,2075,Farmyard Manure,Panama Wilt - Thiophanate
Strawberry,Sandy Loam,5.9,18,1767,Phosphate Fertilizer,Bollworm - Cypermethrin
Eucalyptus,Clayey,6.8,26,875,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Maize,Loamy,7.5,14,2460,DAP,Thrips - Spinosad
Peas,Clayey Loam,6.5,11,1209,Farmyard Manure,Stem Borer - Carbaryl
Watermelon,Red,7,12,739,Organic Compost,Anthracnose - Carbendazim
Mango,Laterite,6.7,33,1135,Potash Fertilizer,Thrips - Spinosad
Mango,Black,7.1,19,2401,Phosphate Fertilizer,Bollworm - Cypermethrin
Pumpkin,Sandy Loam,5.8,31,786,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Sugarcane,Mountain,5.7,18,743,Urea,Scab - Captan
Radish,Laterite,6.7,13,416,NPK Fertilizer,Powdery Mildew - Sulfur
Chili,Sandy,5.8,29,1335,Farmyard Manure,Rust - Mancozeb
Chili,Sandy,6.4,17,2018,NPK Fertilizer,Powdery Mildew - Sulfur
Watermelon,Clayey,6.6,21,1574,Urea,Panama Wilt - Thiophanate
Radish,Alluvial,5.5,35,1084,Sulfur Fertilizer,Thrips - Spinosad
Jackfruit,Black,6.9,35,864,DAP,Anthracnose - Carbendazim
Groundnut,Black,7.2,17,963,Potassium Nitrate,Anthracnose - Carbendazim
Sunflower,Loamy,5.7,11,1856,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Coconut,Laterite,6.5,26,994,Phosphate Fertilizer,Anthracnose - Carbendazim
Apple,Sandy,6.6,12,2411,DAP,Stem Borer - Carbaryl
Basil,Clayey Loam,7.1,29,582,Farmyard Manure,Panama Wilt - Thiophanate
Pomegranate,Mountain,7.3,25,832,Potash Fertilizer,Bud Rot - Copper Oxychloride
Peas,Mountain,5.9,21,2333,Sulfur Fertilizer,Rust - Mancozeb
Soybean,Mountain,7.5,11,1390,Urea,Red Rot - Carbendazim
Cashew,Sandy,6.1,10,1699,DAP,Blister Blight - Copper Oxychloride
Basil,Laterite,6.1,21,1315,Potassium Nitrate,Blister Blight - Copper Oxychloride
Coffee,Laterite,7,33,1509,Potassium Nitrate,Blister Blight - Copper Oxychloride
Carrot,Clayey,6.7,31,2437,Farmyard Manure,Stem Borer - Carbaryl
Cashew,Sandy,5.6,11,1908,DAP,Anthracnose - Carbendazim
Banana,Sandy,7.4,26,550,Sulfur Fertilizer,Bollworm - Cypermethrin
Mango,Loamy,7.3,13,1152,Sulfur Fertilizer,Rust - Mancozeb
Cotton,Black,6.7,11,1714,Urea,Anthracnose - Carbendazim
Bamboo,Loamy,7.4,18,2481,Phosphate Fertilizer,Panama Wilt - Thiophanate
Banana,Alluvial,7.2,18,1488,Farmyard Manure,Late Blight - Mancozeb
Papaya,Mountain,6.9,18,1914,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Groundnut,Black,7.1,15,1011,DAP,Rust - Propiconazole
Coffee,Laterite,6.9,24,2258,Farmyard Manure,Bud Rot - Copper Oxychloride
Wheat,Laterite,6.6,12,2240,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Cauliflower,Sandy,6.2,27,1559,Potassium Nitrate,Rust - Propiconazole
Blueberry,Sandy Loam,6,11,1552,Farmyard Manure,Panama Wilt - Thiophanate
Spinach,Clayey Loam,5.6,13,1392,Sulfur Fertilizer,Red Rot - Carbendazim
Black Gram,Black,6.3,25,1213,Phosphate Fertilizer,Powdery Mildew - Sulfur
Watermelon,Alluvial,7.3,11,771,Organic Compost,Leaf Spot - Chlorothalonil
Papaya,Sandy Loam,7,20,716,Potassium Nitrate,Leaf Spot - Chlorothalonil
Rice,Laterite,6,18,375,Potassium Nitrate,Aphids - Imidacloprid
Cabbage,Sandy Loam,6.1,14,1735,Organic Compost,Blister Blight - Copper Oxychloride
Tomato,Clayey,6.1,29,474,DAP,Aphids - Imidacloprid
Guava,Red,6.2,25,2098,Potassium Nitrate,Thrips - Spinosad
Potato,Black,5.6,20,2196,Farmyard Manure,Coffee Rust - Propiconazole
Neem,Red,6,23,301,Organic Compost,Anthracnose - Carbendazim
Cashew,Loamy,5.5,16,2195,Phosphate Fertilizer,Stem Borer - Carbaryl
Groundnut,Clayey Loam,5.7,26,1773,Organic Compost,Thrips - Spinosad
Apple,Mountain,7.2,30,1937,Sulfur Fertilizer,Thrips - Spinosad
Strawberry,Black,6.3,23,1305,NPK Fertilizer,Rust - Propiconazole
Ginger,Sandy Loam,6.3,19,1431,Potassium Nitrate,Mealybug - Buprofezin
Mahogany,Sandy,5.9,16,1539,Potash Fertilizer,Leaf Spot - Chlorothalonil
Blueberry,Sandy Loam,7.2,28,1341,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Mango,Sandy,6.5,14,1316,Potash Fertilizer,Bud Rot - Copper Oxychloride
Tea,Clayey,7.4,31,1212,NPK Fertilizer,Red Rot - Carbendazim
Groundnut,Laterite,6.4,21,1025,Farmyard Manure,Panama Wilt - Thiophanate
Mango,Clayey Loam,7.2,14,2267,NPK Fertilizer,Late Blight - Mancozeb
Groundnut,Clayey,7.3,27,351,Potash Fertilizer,Anthracnose - Carbendazim
Peach,Red,6.7,14,2104,DAP,Scab - Captan
Pear,Loamy,6.3,13,1581,Calcium Ammonium Nitrate,Rust - Mancozeb
Pomegranate,Sandy,6.4,33,1858,Urea,Rust - Propiconazole
Onion,Alluvial,7.1,27,2346,Phosphate Fertilizer,Rust - Mancozeb
Mahogany,Loamy,5.7,26,1868,Urea,Thrips - Spinosad
Carrot,Alluvial,5.9,26,1942,DAP,Panama Wilt - Thiophanate
Apple,Black,6,32,2013,Organic Compost,Blister Blight - Copper Oxychloride
Papaya,Clayey,7.1,12,1421,DAP,Scab - Captan
Sugarcane,Red,5.6,18,1514,Calcium Ammonium Nitrate,Scab - Captan
Cabbage,Loamy,6.2,29,2395,Calcium Ammonium Nitrate,Thrips - Spinosad
Bamboo,Mountain,6.1,10,2411,Potassium Nitrate,Bollworm - Cypermethrin
Maize,Loamy,6.2,17,1982,Farmyard Manure,Blast - Tricyclazole
Peach,Loamy,7.2,14,2040,Calcium Ammonium Nitrate,Rust - Propiconazole
Turmeric,Black,6,33,1992,Sulfur Fertilizer,Late Blight - Mancozeb
Rice,Red,7.4,24,1104,Phosphate Fertilizer,Scab - Captan
Mustard,Mountain,5.5,17,495,DAP,Blast - Tricyclazole
Peach,Clayey Loam,6.8,27,909,Farmyard Manure,Red Rot - Carbendazim
Pomegranate,Mountain,5.6,13,1146,Potassium Nitrate,Leaf Spot - Chlorothalonil
Rice,Mountain,6.4,13,1239,NPK Fertilizer,Leaf Spot - Chlorothalonil
Ginger,Alluvial,6.6,21,629,NPK Fertilizer,Bud Rot - Copper Oxychloride
Watermelon,Clayey,6.6,29,2310,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Jute,Sandy,7.2,25,1742,Calcium Ammonium Nitrate,Blast - Tricyclazole
Sunflower,Clayey,6.1,16,1263,Potash Fertilizer,Bollworm - Cypermethrin
Coconut,Black,5.9,28,1604,DAP,Leaf Spot - Chlorothalonil
Rice,Loamy,7.4,17,902,Urea,Leaf Spot - Chlorothalonil
Cauliflower,Black,6,21,1995,NPK Fertilizer,Rust - Propiconazole
Neem,Sandy Loam,6.4,15,1241,Sulfur Fertilizer,Bollworm - Cypermethrin
Blueberry,Mountain,6.5,19,2450,NPK Fertilizer,Thrips - Spinosad
Cotton,Alluvial,6.5,33,856,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Tomato,Sandy Loam,7.2,23,2302,Potassium Nitrate,Mealybug - Buprofezin
Jackfruit,Sandy Loam,5.9,15,1093,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Papaya,Alluvial,7.2,32,1868,Organic Compost,Blister Blight - Copper Oxychloride
Sunflower,Sandy,7.4,23,2189,Phosphate Fertilizer,Anthracnose - Carbendazim
Cauliflower,Black,7.3,27,1745,Potash Fertilizer,Thrips - Spinosad
Watermelon,Mountain,6.3,14,735,Urea,Thrips - Spinosad
Neem,Red,5.6,14,2168,Sulfur Fertilizer,Red Rot - Carbendazim
Sunflower,Black,7.4,24,1187,Sulfur Fertilizer,Powdery Mildew - Sulfur
Basil,Loamy,6.9,22,1891,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Strawberry,Mountain,7.2,21,2201,Farmyard Manure,Rust - Mancozeb
Spinach,Sandy Loam,7.3,26,1413,Potash Fertilizer,Scab - Captan
Peach,Sandy,6.5,35,627,Potassium Nitrate,Rust - Mancozeb
Groundnut,Black,6.8,14,459,Organic Compost,Anthracnose - Carbendazim
Sunflower,Black,7.4,31,1465,Phosphate Fertilizer,Rust - Propiconazole
Cotton,Black,7.1,22,1631,Organic Compost,Leaf Curl - Imidacloprid
Brinjal,Red,7,25,1696,Sulfur Fertilizer,Anthracnose - Carbendazim
Peas,Clayey,6.8,23,2063,NPK Fertilizer,Mealybug - Buprofezin
Jute,Sandy,6.8,16,2097,Calcium Ammonium Nitrate,Blast - Tricyclazole
Chili,Loamy,7.5,26,805,Potash Fertilizer,Red Rot - Carbendazim
Onion,Laterite,6.1,19,2473,Organic Compost,Powdery Mildew - Sulfur
Coconut,Clayey,5.5,31,1576,DAP,Aphids - Imidacloprid
Pear,Clayey Loam,6.1,27,1161,DAP,Scab - Captan
Cotton,Sandy,6.6,17,1783,DAP,Stem Borer - Carbaryl
Papaya,Sandy,6.4,18,1537,Farmyard Manure,Powdery Mildew - Sulfur
Onion,Loamy,5.8,12,1211,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Mahogany,Red,6,32,2088,Organic Compost,Rust - Propiconazole
Lentils,Sandy,6.7,21,1653,Potash Fertilizer,Blast - Tricyclazole
Radish,Alluvial,6.5,15,1961,DAP,Scab - Captan
Guava,Red,7.2,24,811,Farmyard Manure,Aphids - Imidacloprid
Potato,Black,5.9,27,1190,Calcium Ammonium Nitrate,Rust - Mancozeb
Coconut,Laterite,5.7,16,1694,Urea,Panama Wilt - Thiophanate
Chili,Black,6.4,27,1894,Organic Compost,Mealybug - Buprofezin
Onion,Mountain,6.3,35,459,Farmyard Manure,Mealybug - Buprofezin
Radish,Loamy,6.2,21,1465,Farmyard Manure,Panama Wilt - Thiophanate
Strawberry,Black,5.7,32,1666,NPK Fertilizer,Leaf Spot - Chlorothalonil
Green Gram,Black,5.6,21,1791,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Maize,Clayey Loam,5.7,21,2183,Potash Fertilizer,Leaf Curl - Imidacloprid
Carrot,Black,6.7,19,1571,Potassium Nitrate,Anthracnose - Carbendazim
Aloe Vera,Sandy,7,17,1644,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Groundnut,Clayey,6.4,34,2154,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Guava,Black,6.9,34,2485,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Sunflower,Red,6.3,33,390,Potassium Nitrate,Leaf Spot - Chlorothalonil
Tomato,Red,6.8,29,1858,Potash Fertilizer,Bollworm - Cypermethrin
Neem,Sandy,7.1,31,1587,Sulfur Fertilizer,Mealybug - Buprofezin
Black Gram,Sandy,6.5,28,1043,NPK Fertilizer,Anthracnose - Carbendazim
Turmeric,Laterite,5.5,32,1109,Organic Compost,Bollworm - Cypermethrin
Neem,Sandy Loam,7.1,25,692,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Cotton,Sandy,5.9,25,335,DAP,Powdery Mildew - Sulfur
Strawberry,Sandy Loam,7,15,2092,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Jute,Clayey Loam,6,25,939,DAP,Late Blight - Mancozeb
Onion,Black,6.1,14,491,Potassium Nitrate,Mealybug - Buprofezin
Ginger,Loamy,7.3,23,676,Urea,Leaf Spot - Chlorothalonil
Spinach,Alluvial,6,11,1361,DAP,Thrips - Spinosad
Pomegranate,Loamy,7,31,350,Urea,Blast - Tricyclazole
Radish,Mountain,6.2,32,1049,Sulfur Fertilizer,Late Blight - Mancozeb
Chili,Sandy Loam,5.8,14,2047,Phosphate Fertilizer,Rust - Mancozeb
Apple,Mountain,5.8,25,1675,Organic Compost,Blister Blight - Copper Oxychloride
Cauliflower,Clayey,6.7,27,2379,Potash Fertilizer,Aphids - Imidacloprid
Coconut,Sandy,7.2,33,337,Potash Fertilizer,Leaf Curl - Imidacloprid
Sugarcane,Loamy,7.4,25,1485,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Jute,Sandy,6.2,16,1166,Phosphate Fertilizer,Late Blight - Mancozeb
Spinach,Mountain,7.3,23,1597,Urea,Rust - Mancozeb
Okra,Sandy,7.3,18,1300,Farmyard Manure,Coffee Rust - Propiconazole
Eucalyptus,Loamy,7.5,22,1802,Sulfur Fertilizer,Bollworm - Cypermethrin
Brinjal,Sandy,6.5,24,986,NPK Fertilizer,Bud Rot - Copper Oxychloride
Lentils,Sandy Loam,7,11,1883,DAP,Coffee Rust - Propiconazole
Sunflower,Clayey,7,28,1707,Potash Fertilizer,Bud Rot - Copper Oxychloride
Pineapple,Sandy,6.8,15,669,Farmyard Manure,Red Rot - Carbendazim
Wheat,Sandy Loam,5.8,24,824,Sulfur Fertilizer,Late Blight - Mancozeb
Carrot,Loamy,6.1,26,449,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Turmeric,Loamy,6.2,17,2107,Potassium Nitrate,Scab - Captan
Carrot,Clayey Loam,5.6,27,2464,Potash Fertilizer,Leaf Spot - Chlorothalonil
Wheat,Loamy,7,33,316,Farmyard Manure,Panama Wilt - Thiophanate
Okra,Black,5.6,25,2109,NPK Fertilizer,Rust - Mancozeb
Cauliflower,Clayey,7.1,16,1905,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Radish,Red,6.1,16,350,Potash Fertilizer,Leaf Curl - Imidacloprid
Onion,Red,5.7,31,911,Organic Compost,Anthracnose - Carbendazim
Wheat,Red,6.2,20,644,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Groundnut,Laterite,6.7,34,610,NPK Fertilizer,Powdery Mildew - Sulfur
Mustard,Sandy,6.6,22,1635,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Cauliflower,Clayey Loam,6.4,19,1660,Potash Fertilizer,Scab - Captan
Potato,Red,6.5,13,717,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Green Gram,Red,5.8,33,1187,Sulfur Fertilizer,Anthracnose - Carbendazim
Potato,Clayey Loam,6.6,34,1158,Potassium Nitrate,Bollworm - Cypermethrin
Banana,Black,6.4,22,2010,Potassium Nitrate,Rust - Propiconazole
Sunflower,Sandy Loam,7.5,16,2176,NPK Fertilizer,Bud Rot - Copper Oxychloride
Cashew,Mountain,5.9,35,2480,Urea,Coffee Rust - Propiconazole
Soybean,Alluvial,7.3,12,1892,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Cauliflower,Black,6,29,1773,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Basil,Alluvial,6.7,10,2230,Potash Fertilizer,Stem Borer - Carbaryl
Jackfruit,Sandy,5.8,18,702,Potash Fertilizer,Blister Blight - Copper Oxychloride
Blueberry,Black,6.2,12,1063,Farmyard Manure,Rust - Mancozeb
Spinach,Alluvial,6,16,2276,Phosphate Fertilizer,Thrips - Spinosad
Peas,Loamy,7.2,25,1016,Urea,Rust - Propiconazole
Sugarcane,Loamy,6.9,35,941,Farmyard Manure,Powdery Mildew - Sulfur
Cabbage,Clayey,6.9,35,2213,Phosphate Fertilizer,Stem Borer - Carbaryl
Peach,Sandy Loam,7.1,24,1228,NPK Fertilizer,Red Rot - Carbendazim
Cotton,Alluvial,7.2,22,467,Phosphate Fertilizer,Powdery Mildew - Sulfur
Wheat,Mountain,5.7,13,432,DAP,Powdery Mildew - Sulfur
Tea,Black,5.6,31,1995,Organic Compost,Aphids - Imidacloprid
Coffee,Sandy,6.4,15,1694,NPK Fertilizer,Stem Borer - Carbaryl
Apple,Sandy Loam,6.2,22,2323,Potash Fertilizer,Scab - Captan
Mango,Sandy,6.2,22,2264,Potash Fertilizer,Panama Wilt - Thiophanate
Maize,Mountain,5.7,22,2011,DAP,Anthracnose - Carbendazim
Black Gram,Loamy,6,26,2024,DAP,Blister Blight - Copper Oxychloride
Jackfruit,Sandy Loam,5.5,26,2037,Organic Compost,Thrips - Spinosad
Turmeric,Laterite,6.5,16,778,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Peas,Sandy Loam,5.8,10,2494,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Coconut,Clayey,6.9,31,1997,Organic Compost,Blast - Tricyclazole
Neem,Mountain,6,19,2445,Sulfur Fertilizer,Mealybug - Buprofezin
Pumpkin,Loamy,5.9,10,1604,Calcium Ammonium Nitrate,Blast - Tricyclazole
Sugarcane,Laterite,6.4,13,757,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Neem,Clayey Loam,7,16,1616,Sulfur Fertilizer,Scab - Captan
Green Gram,Red,7.2,29,465,Organic Compost,Anthracnose - Carbendazim
Carrot,Loamy,7.1,16,825,Urea,Anthracnose - Carbendazim
Apple,Loamy,6.9,32,1716,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Coconut,Mountain,7.3,14,1488,Potash Fertilizer,Stem Borer - Carbaryl
Mustard,Loamy,7.3,11,2381,Phosphate Fertilizer,Stem Borer - Carbaryl
Sugarcane,Clayey Loam,5.5,24,1638,Farmyard Manure,Red Rot - Carbendazim
Strawberry,Red,6.8,31,1335,Phosphate Fertilizer,Powdery Mildew - Sulfur
Neem,Sandy Loam,6,24,1503,Potassium Nitrate,Late Blight - Mancozeb
Jute,Clayey Loam,6.4,35,751,DAP,Bollworm - Cypermethrin
Rice,Clayey Loam,6.4,22,1407,NPK Fertilizer,Stem Borer - Carbaryl
Wheat,Sandy,7.4,15,301,Farmyard Manure,Mealybug - Buprofezin
Sugarcane,Sandy,5.7,10,1022,Potash Fertilizer,Anthracnose - Carbendazim
Pineapple,Alluvial,6.2,27,2048,Farmyard Manure,Blast - Tricyclazole
Mahogany,Sandy,6.7,29,700,Phosphate Fertilizer,Scab - Captan
Brinjal,Sandy Loam,7.2,30,1917,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Cashew,Mountain,7.2,21,1264,Phosphate Fertilizer,Red Rot - Carbendazim
Jute,Laterite,5.6,12,2221,Phosphate Fertilizer,Bollworm - Cypermethrin
Cabbage,Laterite,5.8,19,1363,Potassium Nitrate,Anthracnose - Carbendazim
Jackfruit,Red,5.5,22,726,NPK Fertilizer,Bollworm - Cypermethrin
Rice,Loamy,6.9,10,2123,Phosphate Fertilizer,Stem Borer - Carbaryl
Eucalyptus,Sandy,7.1,20,1225,Sulfur Fertilizer,Powdery Mildew - Sulfur
Bamboo,Sandy,6.8,26,525,Phosphate Fertilizer,Panama Wilt - Thiophanate
Bamboo,Loamy,5.6,20,1498,Calcium Ammonium Nitrate,Blast - Tricyclazole
Coconut,Mountain,6.4,16,1001,Farmyard Manure,Thrips - Spinosad
Basil,Sandy,7.5,14,1472,Potash Fertilizer,Blister Blight - Copper Oxychloride
Jute,Clayey,6.5,33,1415,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Pumpkin,Red,6.8,15,2226,Potash Fertilizer,Coffee Rust - Propiconazole
Cauliflower,Clayey,6.3,32,1874,Sulfur Fertilizer,Coffee Rust - Propiconazole
Sugarcane,Alluvial,5.9,10,742,Organic Compost,Rust - Mancozeb
Peas,Laterite,7.2,24,607,Potassium Nitrate,Mealybug - Buprofezin
Lentils,Loamy,7,23,2487,Potash Fertilizer,Panama Wilt - Thiophanate
Green Gram,Clayey,5.9,20,2082,Sulfur Fertilizer,Aphids - Imidacloprid
Brinjal,Clayey,7.3,18,1132,Farmyard Manure,Leaf Curl - Imidacloprid
Jute,Black,6,30,931,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Green Gram,Sandy,6.6,20,747,Farmyard Manure,Bollworm - Cypermethrin
Lentils,Clayey,7.4,20,2442,NPK Fertilizer,Mealybug - Buprofezin
Spinach,Black,5.6,24,2229,Potash Fertilizer,Rust - Propiconazole
Aloe Vera,Clayey,5.6,25,1715,DAP,Thrips - Spinosad
Apple,Sandy,6.6,26,1047,Organic Compost,Late Blight - Mancozeb
Pear,Laterite,6.2,15,2095,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Aloe Vera,Mountain,7,27,556,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Maize,Clayey Loam,5.6,32,2356,Potassium Nitrate,Bud Rot - Copper Oxychloride
Groundnut,Sandy Loam,5.7,20,2363,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Cotton,Laterite,6.6,19,902,Organic Compost,Thrips - Spinosad
Bamboo,Sandy Loam,7.2,32,1480,Organic Compost,Panama Wilt - Thiophanate
Potato,Laterite,6.5,16,1951,Potash Fertilizer,Scab - Captan
Green Gram,Alluvial,7.1,33,2277,Farmyard Manure,Red Rot - Carbendazim
Carrot,Black,7.5,27,1079,Potash Fertilizer,Bud Rot - Copper Oxychloride
Banana,Laterite,6.9,15,514,DAP,Leaf Curl - Imidacloprid
Mustard,Laterite,6.7,34,1513,Potassium Nitrate,Aphids - Imidacloprid
Lentils,Clayey,6.5,25,2312,DAP,Mealybug - Buprofezin
Sugarcane,Alluvial,7.5,19,1569,Potash Fertilizer,Stem Borer - Carbaryl
Lentils,Clayey,7.1,19,1174,Phosphate Fertilizer,Rust - Propiconazole
Okra,Loamy,7,30,414,Sulfur Fertilizer,Red Rot - Carbendazim
Carrot,Sandy,6,15,1954,Organic Compost,Mealybug - Buprofezin
Black Gram,Black,5.6,24,2467,Farmyard Manure,Mealybug - Buprofezin
Soybean,Laterite,5.8,25,892,Phosphate Fertilizer,Mealybug - Buprofezin
Cotton,Black,6.8,35,1207,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Mahogany,Alluvial,6.3,26,995,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Soybean,Black,7.3,28,2147,Sulfur Fertilizer,Rust - Mancozeb
Pear,Black,7.5,28,1237,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Aloe Vera,Clayey,6.3,19,2032,Calcium Ammonium Nitrate,Thrips - Spinosad
Tomato,Mountain,5.9,25,1258,NPK Fertilizer,Leaf Spot - Chlorothalonil
Maize,Clayey,7.2,16,1405,Farmyard Manure,Rust - Propiconazole
Radish,Red,6.4,24,971,Organic Compost,Bud Rot - Copper Oxychloride
Coconut,Red,5.5,28,1210,NPK Fertilizer,Coffee Rust - Propiconazole
Ginger,Loamy,5.9,24,2215,Sulfur Fertilizer,Scab - Captan
Blueberry,Alluvial,6.3,35,1035,DAP,Scab - Captan
Rice,Laterite,6.6,28,1503,Potassium Nitrate,Leaf Spot - Chlorothalonil
Turmeric,Black,6.1,26,1476,Urea,Leaf Curl - Imidacloprid
Pineapple,Clayey Loam,5.7,24,2333,Urea,Bollworm - Cypermethrin
Papaya,Alluvial,5.8,14,1868,DAP,Bud Rot - Copper Oxychloride
Mahogany,Mountain,5.8,13,1474,NPK Fertilizer,Blister Blight - Copper Oxychloride
Chili,Laterite,6.5,19,674,Farmyard Manure,Thrips - Spinosad
Soybean,Alluvial,6.3,30,1388,Phosphate Fertilizer,Thrips - Spinosad
Coconut,Sandy,5.7,26,985,Sulfur Fertilizer,Thrips - Spinosad
Carrot,Sandy Loam,6.7,15,1611,Phosphate Fertilizer,Bollworm - Cypermethrin
Peach,Sandy,6,11,1033,Potash Fertilizer,Leaf Curl - Imidacloprid
Chili,Clayey Loam,7.2,22,334,Phosphate Fertilizer,Rust - Mancozeb
Blueberry,Sandy,7.3,21,1076,Phosphate Fertilizer,Scab - Captan
